time:1155292899, acc_x:-00006.35, acc_y:00012.21, acc_z:01019.53
time:1155300448, acc_x:-00006.84, acc_y:00005.37, acc_z:01013.67
time:1155307998, acc_x:-00004.39, acc_y:-00000.98, acc_z:01012.21
time:1155315634, acc_x:-00017.58, acc_y:00007.32, acc_z:01021.00
time:1155323172, acc_x:-00005.37, acc_y:00011.23, acc_z:01014.65
time:1155330717, acc_x:-00021.48, acc_y:00015.14, acc_z:01014.65
time:1155338261, acc_x:-00009.28, acc_y:00003.91, acc_z:01006.35
time:1155345814, acc_x:00001.95, acc_y:00005.37, acc_z:01013.18
time:1155353268, acc_x:-00003.42, acc_y:00002.44, acc_z:01026.86
time:1155360822, acc_x:-00008.79, acc_y:00016.60, acc_z:01014.16
time:1155368360, acc_x:-00022.46, acc_y:00019.53, acc_z:01013.67
time:1155375906, acc_x:-00015.14, acc_y:00006.84, acc_z:01018.55
time:1155383424, acc_x:-00013.67, acc_y:00000.00, acc_z:01022.95
time:1155390973, acc_x:00012.21, acc_y:-00028.32, acc_z:00972.66
time:1155398516, acc_x:-00010.25, acc_y:-00000.49, acc_z:01092.29
time:1155406155, acc_x:-00019.04, acc_y:-00010.25, acc_z:00949.22
time:1155413795, acc_x:-00016.60, acc_y:-00025.88, acc_z:01057.62
time:1155421427, acc_x:00017.09, acc_y:00045.41, acc_z:00985.35
time:1155428890, acc_x:-00022.95, acc_y:-00014.65, acc_z:01030.76
time:1155436524, acc_x:-00026.86, acc_y:-00010.74, acc_z:01039.06
time:1155444156, acc_x:-00000.98, acc_y:-00003.91, acc_z:01015.14
time:1155451798, acc_x:00009.77, acc_y:-00015.14, acc_z:01010.25
time:1155459346, acc_x:00007.81, acc_y:-00017.09, acc_z:01025.88
time:1155466895, acc_x:00010.25, acc_y:-00030.27, acc_z:01005.86
time:1155474439, acc_x:00013.18, acc_y:-00020.51, acc_z:01023.93
time:1155481988, acc_x:00008.30, acc_y:-00012.70, acc_z:01032.71
time:1155489535, acc_x:-00004.39, acc_y:00025.39, acc_z:01052.25
time:1155497080, acc_x:-00018.07, acc_y:00012.21, acc_z:00992.19
time:1155504627, acc_x:-00007.81, acc_y:00016.60, acc_z:01060.55
time:1155512165, acc_x:-00021.48, acc_y:00019.04, acc_z:01000.00
time:1155519699, acc_x:-00011.23, acc_y:00010.25, acc_z:01004.88
time:1155527244, acc_x:-00005.37, acc_y:00017.09, acc_z:01006.84
time:1155534794, acc_x:-00077.64, acc_y:-00037.60, acc_z:00993.65
time:1155542428, acc_x:00025.39, acc_y:-00042.97, acc_z:01001.46
time:1155549973, acc_x:00015.63, acc_y:-00059.57, acc_z:01039.06
time:1155557520, acc_x:-00000.49, acc_y:-00002.93, acc_z:01036.62
time:1155565152, acc_x:00026.86, acc_y:-00082.03, acc_z:01000.49
time:1155572692, acc_x:00027.34, acc_y:-00046.39, acc_z:01039.06
time:1155580242, acc_x:00032.23, acc_y:-00048.83, acc_z:01019.04
time:1155587795, acc_x:00035.16, acc_y:-00091.31, acc_z:01019.04
time:1155595340, acc_x:00039.06, acc_y:-00106.93, acc_z:00993.16
time:1155602888, acc_x:00009.77, acc_y:-00036.62, acc_z:01112.79
time:1155610436, acc_x:00098.63, acc_y:-00133.30, acc_z:00948.24
time:1155617987, acc_x:00072.27, acc_y:-00033.20, acc_z:01117.68
time:1155625527, acc_x:00070.31, acc_y:-00068.85, acc_z:00988.28
time:1155633072, acc_x:-00068.36, acc_y:-00122.56, acc_z:01050.29
time:1155640704, acc_x:-00040.53, acc_y:-00139.65, acc_z:01013.67
time:1155648340, acc_x:00080.08, acc_y:00035.16, acc_z:01082.52
time:1155655795, acc_x:00094.73, acc_y:-00111.33, acc_z:00974.12
time:1155663345, acc_x:00131.84, acc_y:-00124.51, acc_z:01021.48
time:1155670885, acc_x:00143.55, acc_y:00020.02, acc_z:01208.50
time:1155678345, acc_x:00007.81, acc_y:-00124.51, acc_z:00940.92
time:1155685885, acc_x:00027.83, acc_y:00030.76, acc_z:01133.79
time:1155693347, acc_x:00142.09, acc_y:-00226.56, acc_z:00805.18
time:1155700893, acc_x:-00049.80, acc_y:-00075.20, acc_z:01063.96
time:1155708529, acc_x:-00028.81, acc_y:-00034.67, acc_z:01138.67
time:1155716163, acc_x:-00038.57, acc_y:-00388.18, acc_z:00896.00
time:1155723803, acc_x:-00146.00, acc_y:-00009.28, acc_z:01038.09
time:1155731436, acc_x:00025.88, acc_y:00040.53, acc_z:01125.49
time:1155738895, acc_x:00398.93, acc_y:-00089.36, acc_z:00709.96
time:1155746437, acc_x:00267.58, acc_y:-00164.06, acc_z:01351.56
time:1155753986, acc_x:-00085.94, acc_y:-00200.68, acc_z:01083.01
time:1155761620, acc_x:00189.94, acc_y:00179.20, acc_z:01361.33
time:1155769070, acc_x:00219.24, acc_y:-00181.64, acc_z:00291.50
time:1155776621, acc_x:-00179.69, acc_y:-00127.93, acc_z:01546.39
time:1155784256, acc_x:00101.56, acc_y:-00295.90, acc_z:00601.07
time:1155791803, acc_x:-00060.55, acc_y:-00133.79, acc_z:01471.68
time:1155799438, acc_x:-00240.23, acc_y:00007.81, acc_z:01168.46
time:1155806983, acc_x:00436.04, acc_y:-00019.04, acc_z:01108.89
time:1155814533, acc_x:00331.05, acc_y:00180.66, acc_z:01267.58
time:1155821995, acc_x:00028.81, acc_y:-00090.33, acc_z:00876.46
time:1155829544, acc_x:-00119.14, acc_y:-00146.00, acc_z:01298.83
time:1155837171, acc_x:-00158.20, acc_y:-00336.91, acc_z:00786.13
time:1155844811, acc_x:00383.30, acc_y:00049.80, acc_z:00798.83
time:1155852263, acc_x:00212.40, acc_y:00303.22, acc_z:00616.21
time:1155859718, acc_x:00068.36, acc_y:00084.47, acc_z:01676.27
time:1155867172, acc_x:00460.45, acc_y:-00186.52, acc_z:00661.13
time:1155874711, acc_x:00156.74, acc_y:00055.18, acc_z:01999.94
time:1155882168, acc_x:-00185.06, acc_y:-00222.17, acc_z:00312.01
time:1155889809, acc_x:-00386.72, acc_y:-00155.76, acc_z:01374.51
time:1155897439, acc_x:-00017.09, acc_y:-00152.83, acc_z:00559.08
time:1155905071, acc_x:00213.87, acc_y:00213.38, acc_z:01079.10
time:1155912533, acc_x:-00198.24, acc_y:-00147.95, acc_z:01232.42
time:1155920166, acc_x:-00176.27, acc_y:00101.07, acc_z:01183.11
time:1155927708, acc_x:00109.37, acc_y:-00244.63, acc_z:01145.02
time:1155935256, acc_x:00253.91, acc_y:-00424.32, acc_z:01396.00
time:1155942813, acc_x:00530.76, acc_y:00653.32, acc_z:00535.16
time:1155950267, acc_x:-00110.35, acc_y:00209.47, acc_z:01665.04
time:1155957815, acc_x:-00040.53, acc_y:00018.55, acc_z:00875.98
time:1155965361, acc_x:-00164.06, acc_y:00276.86, acc_z:00608.89
time:1155972910, acc_x:00733.89, acc_y:00113.77, acc_z:01999.94
time:1155980373, acc_x:00092.29, acc_y:-00198.24, acc_z:00345.70
time:1155987923, acc_x:00002.44, acc_y:-00058.59, acc_z:00930.66
