time:9984039, acc_x:54.39, acc_y:-78.89, acc_z:988.58, raw_acc_x:86.91, raw_acc_y:-11.23, raw_acc_z:938.48
time:9995237, acc_x:87.07, acc_y:-88.89, acc_z:999.95, raw_acc_x:217.77, raw_acc_y:-128.91, raw_acc_z:1045.41
time:10006695, acc_x:28.44, acc_y:-115.16, acc_z:1006.30, raw_acc_x:-206.05, raw_acc_y:-220.21, raw_acc_z:1031.74
time:10018498, acc_x:23.15, acc_y:-78.65, acc_z:1038.93, raw_acc_x:1.95, raw_acc_y:67.38, raw_acc_z:1169.43
time:10029782, acc_x:57.38, acc_y:-93.19, acc_z:1028.80, raw_acc_x:194.34, raw_acc_y:-151.37, raw_acc_z:988.28
time:10041322, acc_x:-20.60, acc_y:-47.70, acc_z:1153.90, raw_acc_x:-332.52, raw_acc_y:134.28, raw_acc_z:1654.30
time:10053036, acc_x:44.85, acc_y:-28.20, acc_z:1167.36, raw_acc_x:306.64, raw_acc_y:49.80, raw_acc_z:1221.19
time:10064491, acc_x:57.07, acc_y:-11.33, acc_z:1182.52, raw_acc_x:105.96, raw_acc_y:56.15, raw_acc_z:1243.16
time:10075948, acc_x:72.22, acc_y:-61.31, acc_z:1109.88, raw_acc_x:132.81, raw_acc_y:-261.23, raw_acc_z:819.34
time:10087490, acc_x:165.00, acc_y:-148.17, acc_z:1082.14, raw_acc_x:536.13, raw_acc_y:-495.61, raw_acc_z:971.19
time:10099199, acc_x:166.47, acc_y:-99.98, acc_z:1045.60, raw_acc_x:172.36, raw_acc_y:92.77, raw_acc_z:899.41
time:10110658, acc_x:215.80, acc_y:-30.96, acc_z:1034.92, raw_acc_x:413.09, raw_acc_y:245.12, raw_acc_z:992.19
time:10122192, acc_x:225.27, acc_y:-31.90, acc_z:1002.84, raw_acc_x:263.18, raw_acc_y:-35.64, raw_acc_z:874.51
time:10133733, acc_x:104.63, acc_y:-41.34, acc_z:1019.46, raw_acc_x:-377.93, raw_acc_y:-79.10, raw_acc_z:1085.94
time:10145447, acc_x:48.16, acc_y:-37.76, acc_z:1125.62, raw_acc_x:-177.73, raw_acc_y:-23.44, raw_acc_z:1550.29
time:10157074, acc_x:76.52, acc_y:-155.69, acc_z:1022.08, raw_acc_x:189.94, raw_acc_y:-627.44, raw_acc_z:607.91
time:10168700, acc_x:138.17, acc_y:-121.43, acc_z:961.22, raw_acc_x:384.77, raw_acc_y:15.63, raw_acc_z:717.77
